Date,Close Price
1/3/2011,129.95
1/4/2011,130
1/5/2011,129.9
1/6/2011,129.85
1/7/2011,126.85
1/10/2011,124.25
1/11/2011,122.9
1/12/2011,122.25
1/13/2011,123.55
1/14/2011,122.25
1/17/2011,122.9
1/18/2011,124.4
1/19/2011,123.95
1/20/2011,124.15
1/21/2011,123.8
1/24/2011,125.65
1/25/2011,126.45
1/27/2011,125.85
1/28/2011,123.95
1/31/2011,123.4
2/1/2011,124.1
2/2/2011,124.65
2/3/2011,126.1
2/4/2011,123.15
2/7/2011,124.15
2/8/2011,122.7
2/9/2011,115.35
2/10/2011,116.5
2/11/2011,116.95
2/14/2011,120.15
2/15/2011,121.9
2/16/2011,122.6
2/17/2011,122.9
2/18/2011,122.3
2/21/2011,122.9
2/22/2011,122.8
2/23/2011,122.3
2/24/2011,119.05
2/25/2011,118.35
2/28/2011,118.9
3/1/2011,116.7
3/3/2011,112.8
3/4/2011,110.35
3/7/2011,109.2
3/8/2011,111.35
3/9/2011,111.65
3/10/2011,113.05
3/11/2011,111.35
3/14/2011,113.05
3/15/2011,111.2
3/16/2011,113.1
3/17/2011,112.65
3/18/2011,110.75
3/21/2011,110.6
3/22/2011,110.9
3/23/2011,111.75
3/24/2011,112.4
3/25/2011,113.1
3/28/2011,112.1
3/29/2011,111.8
3/30/2011,112
3/31/2011,112.8
4/1/2011,115.75
4/4/2011,118.25
4/5/2011,118.65
4/6/2011,119.1
4/7/2011,119.7
4/8/2011,118.55
4/11/2011,117.1
4/13/2011,117.65
4/15/2011,116.45
4/18/2011,114.75
4/19/2011,115.1
4/20/2011,116.35
4/21/2011,115.6
4/25/2011,114.75
4/26/2011,113.7
4/27/2011,112.9
4/28/2011,112.95
4/29/2011,112.45
5/2/2011,109.75
5/3/2011,109.65
5/4/2011,108.75
5/5/2011,107.6
5/6/2011,107.8
5/9/2011,110.25
5/10/2011,112.2
5/11/2011,114.25
5/12/2011,113.45
5/13/2011,114.1
5/16/2011,114.9
5/17/2011,113.7
5/18/2011,113.4
5/19/2011,112.3
5/20/2011,112.65
5/23/2011,112.05
5/24/2011,112.1
5/25/2011,111.15
5/26/2011,111.75
5/27/2011,113.85
5/30/2011,114
5/31/2011,115.5
6/1/2011,115.55
6/2/2011,115.1
6/3/2011,113.5
6/6/2011,112.7
6/7/2011,115.7
6/8/2011,113.3
6/9/2011,112.75
6/10/2011,111.55
6/13/2011,110.95
6/14/2011,112.55
6/15/2011,111.4
6/16/2011,111.45
6/17/2011,109.7
6/20/2011,107.8
6/21/2011,107.35
6/22/2011,106.95
6/23/2011,109.85
6/24/2011,110.8
6/27/2011,110.2
6/28/2011,109.85
6/29/2011,110.05
6/30/2011,110
7/1/2011,109.75
7/4/2011,109.75
7/5/2011,110.55
7/6/2011,110.05
7/7/2011,110.5
7/8/2011,108.95
7/11/2011,107.9
7/12/2011,108.65
7/13/2011,109.75
7/14/2011,111.2
7/15/2011,113.6
7/18/2011,113.45
7/19/2011,113.2
7/20/2011,111.9
7/21/2011,112.65
7/22/2011,112.65
7/25/2011,113.25
7/26/2011,113.8
7/27/2011,113.15
7/28/2011,112.35
7/29/2011,99.25
8/1/2011,103.25
8/2/2011,102.85
8/3/2011,101
8/4/2011,93.55
8/5/2011,90.55
8/8/2011,91.3
8/9/2011,91.6
8/10/2011,93.85
8/11/2011,93.7
8/12/2011,94.05
8/16/2011,88.85
8/17/2011,90
8/18/2011,85.85
8/19/2011,84.7
8/22/2011,84.45
8/23/2011,89.5
8/24/2011,88.75
8/25/2011,90.75
8/26/2011,85.9
8/29/2011,89.8
8/30/2011,91.65
9/2/2011,88.95
9/5/2011,89.25
9/6/2011,88.1
9/7/2011,93.95
9/8/2011,91.85
9/9/2011,88.8
9/12/2011,84.05
9/13/2011,84.3
9/14/2011,84.1
9/15/2011,85.5
9/16/2011,86.35
9/19/2011,85.65
9/20/2011,87.8
9/21/2011,88.9
9/22/2011,83.9
9/23/2011,84.45
9/26/2011,84.75
9/27/2011,86.45
9/28/2011,83.5
9/29/2011,87.35
9/30/2011,85.6
10/3/2011,83.95
10/4/2011,81.5
10/5/2011,80.25
10/7/2011,78.15
10/10/2011,78.55
10/11/2011,78.3
10/12/2011,78.95
10/13/2011,83.65
10/14/2011,83.45
10/17/2011,82.35
10/18/2011,82.45
10/19/2011,85.15
10/20/2011,85.7
10/21/2011,83.75
10/24/2011,83.2
10/25/2011,84.25
10/26/2011,84.55
10/28/2011,87.25
10/31/2011,88.15
11/1/2011,86.7
11/2/2011,86.85
11/3/2011,85.7
11/4/2011,85.85
11/8/2011,85.75
11/9/2011,84.8
11/11/2011,82.65
11/14/2011,82
11/15/2011,78.35
11/16/2011,76.75
11/17/2011,75.7
11/18/2011,74.2
11/21/2011,75.75
11/22/2011,74.6
11/23/2011,71.8
11/24/2011,73.65
11/25/2011,71.7
11/28/2011,72.85
11/29/2011,72.1
11/30/2011,71.15
12/1/2011,71.55
12/2/2011,73.25
12/5/2011,76.25
12/7/2011,77.1
12/8/2011,75.7
12/9/2011,74.35
12/12/2011,72.95
12/13/2011,72.1
12/14/2011,73.65
12/15/2011,74.4
12/16/2011,71.9
12/19/2011,70.95
12/20/2011,68
12/21/2011,68.05
12/22/2011,67.65
12/23/2011,67.85
12/26/2011,68.1
12/27/2011,67.2
12/28/2011,62.15
12/29/2011,63.35
12/30/2011,62.3
1/2/2012,62.6
1/3/2012,66.25
1/4/2012,65.35
1/5/2012,64.3
1/6/2012,64.55
1/7/2012,64.75
1/9/2012,65.35
1/10/2012,69.1
1/11/2012,77.15
1/12/2012,81.05
1/13/2012,80.7
1/16/2012,80.05
1/17/2012,83
1/18/2012,82.5
1/19/2012,88.05
1/20/2012,87.7
1/23/2012,88.25
1/24/2012,88.95
1/25/2012,88.55
1/27/2012,84.15
1/30/2012,78.95
1/31/2012,80.3
2/1/2012,82.85
2/2/2012,82.45
2/3/2012,80.45
2/6/2012,82.15
2/7/2012,74.4
2/8/2012,73.25
2/9/2012,70.7
2/10/2012,72.2
2/13/2012,69.7
2/14/2012,69.55
2/15/2012,78.65
2/16/2012,81.55
2/17/2012,85
2/21/2012,91.8
2/22/2012,83.35
2/23/2012,83.75
2/24/2012,81.65
2/27/2012,73.2
2/28/2012,77.4
2/29/2012,75.9
3/1/2012,78.2
3/2/2012,76.5
3/3/2012,78
3/5/2012,75.85
3/6/2012,72.9
3/7/2012,74.15
3/9/2012,75.55
3/12/2012,75.25
3/13/2012,74.8
3/14/2012,75.15
3/15/2012,75.65
3/16/2012,73
3/19/2012,69.3
3/20/2012,66.55
3/21/2012,67.9
3/22/2012,64.35
3/23/2012,67.95
3/26/2012,66.4
3/27/2012,68.2
3/28/2012,67.75
3/29/2012,67.35
3/30/2012,68.3
4/2/2012,68.95
4/3/2012,70.4
4/4/2012,72.5
4/9/2012,71.4
4/10/2012,72.5
4/11/2012,70.9
4/12/2012,71.45
4/13/2012,69.85
4/16/2012,70.25
4/17/2012,71.55
4/18/2012,72
4/19/2012,71
4/20/2012,69.2
4/23/2012,67.2
4/24/2012,66.5
4/25/2012,65.55
4/26/2012,63.35
4/27/2012,62.85
4/28/2012,63.6
4/30/2012,64.15
5/2/2012,63.35
5/3/2012,62.3
5/4/2012,60.3
5/7/2012,58.75
5/8/2012,56.4
5/9/2012,54.5
5/10/2012,53.85
5/11/2012,52
5/14/2012,50.15
5/15/2012,51.35
5/16/2012,51.7
5/17/2012,50.5
5/18/2012,51
5/21/2012,51.6
5/22/2012,50.25
